"id","price_doc"
30474,5596413.91473762
30475,8221960.89762587
30476,6152715.97878451
30477,6232620.20157513
30478,4566091.81891646
30479,4898000.79512397
30480,4356895.4826563
30481,4920055.8471484
30482,6393494.00503662
30483,4920055.8471484
30484,4356895.4826563
30485,4213997.26853985
30486,4284805.76705406
30487,5444909.7194494
30488,7920597.59172803
30489,7920597.59172803
30490,16916768.9778205
30491,9430085.40419574
30492,8267415.33015284
30493,10883066.8890515
30494,6062106.17378759
30495,10268448.154088
30496,11142553.9989378
30497,8221960.89762587
30498,5325579.83711326
30499,8960092.7181094
30500,7854133.77829701
30501,6224167.78161433
30502,3436593.63606005
30503,5602961.0961776
30504,5285143.80348018
30505,8954147.36363289
30506,5769412.01092002
30507,4213997.26853985
30508,4979504.84935827
30509,7400502.25454111
30510,6124008.01934327
30511,6284942.74915408
30512,5474259.62858982
30513,4213997.26853985
30514,7314472.11954487
30515,5842087.0352039
30516,6266969.14892242
30517,6266969.14892242
30518,4262922.43994353
30519,5228529.03149615
30520,4512189.45281031
30521,5602961.0961776
30522,7314472.11954487
30523,5863067.69709007
30524,7946291.44456276
30525,5882530.24555813
30526,4356895.4826563
30527,6162252.48736344
30528,5735213.42341718
30529,5882530.24555813
30530,5882530.24555813
30531,9947852.48137654
30532,4940169.78992496
30533,8173692.34911479
30534,6194630.17186607
30535,6162252.48736344
30536,6266969.14892242
30537,10376676.0930972
30538,4852631.64485582
30539,13376778.8435325
30540,6162252.48736344
30541,6284942.74915408
30542,4262922.43994353
30543,5674800.23927312
30544,8555081.70589709
30545,6317615.6155876
30546,4633143.25229843
30547,6266969.14892242
30548,4898000.79512397
30549,4920055.8471484
30550,10296258.0013366
30551,4920055.8471484
30552,3796782.72763949
30553,6120020.38636701
30554,9947852.48137654
30555,6266969.14892242
30556,4975256.46267797
30557,9034192.15536862
30558,8016240.95328685
30559,5523075.13435688
30560,5325579.83711326
30561,6570640.48718998
30562,6266969.14892242
30563,4566091.81891646
30564,6569236.99664986
30565,10396169.6502445
30566,8991130.56276998
30567,4262922.43994353
30568,8016240.95328685
30569,8528435.9751336
30570,5602961.0961776
30571,4866052.36820031
30572,4356895.4826563
30573,4364980.41201326
30574,6911598.09165983
30575,5602961.0961776
30576,5444909.7194494
30577,6262506.18239893
30578,5842087.0352039
30579,6463092.88380778
30580,5882530.24555813
30581,5228529.03149615
30582,8217962.92227508
30583,6194630.17186607
30584,5219894.8848099
30585,3474915.23834516
30586,6194630.17186607
30587,6590427.71438137
30588,5523075.13435688
30589,7800343.8117274
30590,10525981.6837845
30591,5556194.21452074
30592,7034809.16450941
30593,11142553.9989378
30594,10056978.1025789
30595,5182138.94294229
30596,11252566.3847782
30597,4364980.41201326
30598,6266969.14892242
30599,12420558.2634577
30600,6266969.14892242
30601,6271722.38611403
30602,4262922.43994353
30603,9073011.40713744
