"id","price_doc"
30474,5326647.88902799
30475,7268589.37302776
30476,5419570.53245689
30477,5557094.94363621
30478,4531534.31356268
30479,8096453.26392655
30480,3927742.84916161
30481,3975369.02186991
30482,4751240.23685371
30483,4676307.04291916
30484,5420775.54596095
30485,4453640.38899891
30486,3589458.38642353
30487,3557998.21677845
30488,5635803.9825922
30489,5087822.14676094
30490,19685433.8890939
30491,20034371.3040889
30492,5423326.44176012
30493,14686848.2856799
30494,5958380.98167579
30495,10759493.1639898
30496,7339768.81564781
30497,7812895.6749635
30498,4445795.37610641
30499,7823977.49352483
30500,9722546.1201507
30501,6565605.66480002
30502,3117424.84932927
30503,6472021.41360276
30504,5904593.84634396
30505,9587747.21259826
30506,3405683.11418524
30507,4473683.74910629
30508,4887845.79011055
30509,7659117.01927932
30510,7578215.17784147
30511,6163382.22784885
30512,6587428.94232483
30513,3882612.2149067
30514,3362149.78711629
30515,7921208.75009185
30516,5458875.9964002
30517,9146049.91241313
30518,7440496.3074008
30519,4649852.75788512
30520,6290230.59283756
30521,4939407.29759456
30522,6374302.49922153
30523,6283825.29576397
30524,9993738.33054402
30525,9037068.58483637
30526,4454164.08627858
30527,4668533.88772031
30528,6424946.12099685
30529,6310035.63628657
30530,6431041.68547417
30531,14484512.5369538
30532,4454654.04908078
30533,9488334.95489542
30534,6126109.81972697
30535,7727876.86618347
30536,4794466.72429195
30537,11166682.8501312
30538,4816335.95929222
30539,8934498.56559762
30540,7859388.49116084
30541,6137035.26308693
30542,2534334.56734614
30543,5694649.32888658
30544,6663848.27170752
30545,7743879.50760409
30546,4027392.4633937
30547,8150024.83345831
30548,3994120.92050569
30549,4825660.3453
30550,12958495.2203623
30551,4811788.56559089
30552,2235144.29959429
30553,6669919.24940966
30554,11271141.7202305
30555,5470001.66771187
30556,7129246.47200483
30557,7886155.91127022
30558,9243057.42544223
30559,6782695.43439761
30560,5811219.42092121
30561,6499874.59773936
30562,10781935.1152101
30563,4311179.08100796
30564,7249396.57166583
30565,6470455.12426601
30566,6071563.50669426
30567,2375220.41745272
30568,9495691.84887876
30569,9957895.00326573
30570,6476756.04419508
30571,6353767.85538361
30572,4496477.07878625
30573,5557208.54347297
30574,6481573.65515361
30575,7514953.58061847
30576,4933632.19938005
30577,3716855.60634873
30578,3371608.04043041
30579,6734526.58908673
30580,4886789.36355762
30581,5283001.89276872
30582,11972366.0476716
30583,6061650.24437387
30584,4415584.37610952
30585,2914055.94227654
30586,7594235.49829149
30587,5440242.98131451
30588,8070953.8853241
30589,7943790.52532607
30590,13033920.7411166
30591,5022458.07139533
30592,6460033.96372884
30593,6264572.77925942
30594,5855414.21156629
30595,5648916.80947946
30596,5984211.12559663
30597,5557208.54347297
30598,7848839.96392145
30599,10750853.7064673
30600,4597198.27072718
30601,5773974.92685309
30602,2123253.13443755
30603,9795216.68764059
30604,4582892.35206569
30605,5699953.95266569
30606,17681072.7049411
30607,6577288.85333114
30608,7875443.05413769
30609,5168777.98320395
30610,2947977.78834458
30611,4883526.76089641
30612,7281943.87409474
30613,7042594.18292446
30614,15378279.211013
30615,7958040.23791131
30616,5041491.90635861
30617,8747848.76054353
30618,4880784.60251135
30619,4007133.48713818
30620,3078149.38233159
30621,9504940.52757474
30622,7991794.38778762
30623,5975549.04433908
30624,6008026.85380745
30625,6618653.81750965
30626,6157694.02153297
30627,8080946.45366673
30628,5518822.77251348
30629,4894824.2099269
30630,4532428.27721548
30631,5388771.89105426
30632,4044931.14015923
30633,6575953.62380201
30634,11911110.3324833
30635,7887225.73488094
30636,5223534.30668401
30637,8022071.99263368
30638,6057431.66692383
30639,7655889.72564236
30640,4247482.29096306
30641,6710715.20650971
30642,6429944.78002713
30643,7802957.89621357
30644,7848839.96392145
30645,7194214.90752649
30646,5348609.18776799
30647,4631361.33863107
30648,20346572.7458658
30649,2873659.51517228
30650,4622055.17338784
30651,3445076.85507379
30652,4029092.59977
30653,5915688.984346
30654,4188476.62548314
30655,11180133.2292433
30656,3379447.03882624
30657,5872527.94179718
30658,9119349.27671988
30659,4437180.19941351
30660,8466194.25903267
30661,5377012.98702103
30662,8004043.75950543
30663,16590669.9011505
30664,12398452.0675113
30665,5174242.96855317
30666,3181946.71153383
30667,4040889.09945583
30668,7643151.91315293
30669,4446824.19557342
30670,2685842.71678486
30671,7643446.302847
30672,13198446.6939576
30673,8531864.97673608
30674,9882172.90453588
30675,2534334.56734614
30676,6583656.82810159
30677,4433210.29995863
30678,16725127.8173354
30679,5593170.76709178
30680,4885450.2357711
30681,2567356.14994932
30682,8433029.63297023
30683,7879439.77683823
30684,4612236.1094473
30685,7240537.23014265
30686,7924884.99525649
30687,4465485.86464298
30688,4129835.53622352
30689,14162644.8279699
30690,20664336.8917579
30691,4328795.29490139
30692,6507503.76231825
30693,11578246.7470925
30694,5657122.36629912
30695,6398598.84212634
30696,6918173.87412288
30697,11373730.0396503
30698,7842564.81616234
30699,5705679.01210935
30700,4496113.7218844
30701,7848839.96392145
30702,6108364.84807091
30703,3688826.33809076
30704,9972799.85428648
30705,9598453.67270062
30706,18303546.9474312
30707,3804538.4408697
30708,14406507.6399674
30709,4803144.81700977
30710,6486022.18508934
30711,4502759.41394487
30712,3794701.38595321
30713,6066850.9163726
30714,7144247.31609539
30715,3981007.15044081
30716,7899950.74557601
30717,6407119.59141392
30718,9224024.04841191
30719,10919108.0358092
30720,6404924.66293917
30721,3521971.8856622
30722,7607081.62795385
30723,5646287.88595308
30724,9938098.86372086
30725,6700147.0131169
30726,11909156.2426471
30727,8120489.89199883
30728,9488890.56180633
30729,3478268.73582224
30730,6152804.60601511
30731,5448147.82290732
30732,4846570.4284836
30733,11360190.8289886
30734,5466097.81643422
30735,5174723.98968665
30736,4938765.54520598
30737,7116817.69504023
30738,5883153.06081024
30739,4507163.38901191
30740,6195167.14017279
30741,9196779.25060865
30742,3895126.080288
30743,4508184.16178482
30744,8712636.05220343
30745,6762644.08105647
30746,5305354.86029456
30747,15629565.5952658
30748,11658295.8738094
30749,4717644.64373777
30750,5871297.86673864
30751,2819091.30363883
30752,6281185.07882302
30753,8103701.50252726
30754,5273083.92293713
30755,4848079.34421195
30756,4966943.18199688
30757,5332997.98250741
30758,11429692.8926918
30759,6189244.16259141
30760,4734641.88002493
30761,8942066.96192928
30762,6035256.4704937
30763,10334212.3496225
30764,5103877.31939702
30765,5361677.05877376
30766,3960098.27744475
30767,8418716.63737843
30768,4280851.08330916
30769,7305532.09092391
30770,5180364.55689448
30771,2934718.91938265
30772,8317269.7869357
30773,6791585.79227022
30774,4778284.53931602
30775,12910293.9652114
30776,6087615.84498417
30777,4988500.52919528
30778,9033791.55885872
30779,6441969.11006381
30780,6884032.90163032
30781,5667803.9795435
30782,5805344.57863013
30783,4772802.88994782
30784,3578763.33774888
30785,5137413.53872838
30786,3863900.14734069
30787,5450106.86123717
30788,4824790.9712362
30789,7188373.87205128
30790,6696232.96614607
30791,8626631.22122667
30792,5572076.70958574
30793,10009115.2224965
30794,13191994.7066233
30795,11650727.4427292
30796,11980648.4381637
30797,11897289.6083828
